songkick_id,google_id,name,neighborhood,capacity,city,state,country,lat,lng,street,zip,homepage_url,ticketing,scrape_url,about
40,ChIJ1bn94C1-j4ARAvQAuM1bWew,Mighty,Potrero Hill,500,San Francisco,CA,US,37.767475,-122.406878,119 Utah Streets,94103,http://www.mighty119.com/,eventbrite,http://www.mighty119.com/,
65,ChIJNwYP6ZuAhYARi-mJBD79f-I,Bill Graham Civic Auditorium,Tenderloin,7000,San Francisco,CA,US,37.7785099,-122.4174684,99 Grove Street,94102,http://www.apeconcerts.com/venue_bgc.cfm,ticketmaster,http://www.apeconcerts.com/venue_bgc.cfm,
248,ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,Potrero Hill,350,San Francisco,CA,US,37.7650545,-122.3963593,1233 Seventeenth Street,94107,http://www.bottomofthehill.com/,stubmatic,http://www.bottomofthehill.com/calendar.html#sthash.jYfbNlTn.lg3eaRrR.dpbs,
258,ChIJ8SXJ6sx_j4ARHRrwH9Z3R5k,Thee Parkside,Potrero Hill,100,San Francisco,CA,US,37.7651142,-122.3998659,1600 17th Street,94107,http://www.theeparkside.com/,holdmyticket,http://www.theeparkside.com/,
324,ChIJI3We0a-AhYARveSUnxtLX3Q,The Independent,Nopa,500,San Francisco,CA,US,37.7755211,-122.4378099,628 Divisadero Street,94117,http://www.theindependentsf.com/,ticketfly,http://www.ticketfly.com/venue/21-the-independent/,
328,ChIJyUN-cX-AhYARLtsHniJ96Yg,Hotel Utah Saloon,Soma,125,San Francisco,CA,US,37.7795638,-122.398023,500 Fourth Street,94107,http://www.hotelutah.com/,ticketfly,http://www.ticketfly.com/venue/1039-hotel-utah/,
329,ChIJv4thMYSAhYAREXVWMoGPRDU,Mezzanine,Soma,1000,San Francisco,CA,US,37.7823916,-122.4080206,444 Jessie Street,94103,http://www.mezzaninesf.com/,ticketfly,http://www.ticketfly.com/venue/195-mezzanine/,
390,ChIJW1nriq2Aj4ARfDmscjzBQyk,Uptown Nightclub,Oakland,550,Oakland,CA,US,37.8086099,-122.2695328,1928 Telegraph Avenue,94612,http://www.uptownnightclub.com/,ticketweb,http://www.uptownnightclub.com/event-calendar/,
841,ChIJTemcGJl-hYARjJohd2uBRZI,Greek Theatre,Berkeley,8500,Berkeley,CA,US,37.8740742,-122.2555418,Gayley Road,94704,http://www.apeconcerts.com/venue_greekTheatre.cfm,ticketmaster,http://www.apeconcerts.com/venue_greekTheatre.cfm,
949,ChIJ26vXqYWAhYAR-pHMSmLA0nA,The Warfield,Tenderloin,2250,San Francisco,CA,US,37.7826598,-122.4101811,982 Market Street,94102,http://www.thewarfieldtheatre.com/,axs,http://www.axs.com/venues/101734/the-warfield-san-francisco-tickets?skin=warfield,
1236,ChIJG6xND-WAhYARHeRmW0SCCaA,Bimbo's 365 Club,North Beach,685,San Francisco,CA,US,37.8038712,-122.4152826,1025 Columbus Avenue,94133,http://www.bimbos365club.com/,ticketfly,http://www.ticketfly.com/venue/41-bimbos-365-club/,
1261,ChIJI56vzpaAhYARuopEz-SlLuU,Great American Music Hall,Tenderloin,600,San Francisco,CA,US,37.7851024,-122.4187635,859 O'Farrell Street,94109,http://www.slimspresents.com/,inticketing,http://www.inticketing.com/events/venueinfo/united-states/california/san-francisco/great-american-music-hall/,
1418,ChIJWfkEEyqUeUgRruRiqaxX6BI,The Regency Ballroom,Nob Hill,1050,San Francisco,CA,US,37.7876027,-122.4215609,1290 Sutter Street,94109,http://www.theregencyballroom.com/,axs,http://www.axs.com/venues/102180/the-regency-ballroom-san-francisco-tickets?skin=regency,
1489,ChIJMTUQLSZ-j4AR9AskIMS6IYM,Slim's,Soma,500,San Francisco,CA,US,37.7715171,-122.413259,333 11th Street,94103,http://www.slimspresents.com/,inticketing,http://www.inticketing.com/events/venueinfo/united-states/california/san-francisco/slim-s/,
5614,ChIJFWlUmpKAhYARX5uold3e2fA,The Masonic,Nob Hill,3165,San Francisco,CA,US,37.7914585,-122.4132881,1111 California Street,94108,http://www.sfmasonic.com/,livenation,http://www.ticketmaster.com/The-Masonic-tickets-San-Francisco/venue/229776,
5670,ChIJRwXhl4GAhYARVr2dBIMNkCg,1015 Folsom,Soma,1200,San Francisco,CA,US,37.778048,-122.405681,1015 Folsom St,94103,http://www.1015.com/,eventbrite,http://www.1015.com/main,
6239,ChIJO2EGsrmAhYARdDfDm-uVTQQ,The Fillmore,The Fillmore,1150,San Francisco,CA,US,37.7842566,-122.4332961,1805 Geary Boulevard,94115,http://www.thefillmore.com/,livenation,http://www.ticketmaster.com/The-Fillmore-tickets-San-Francisco/venue/229424,
7516,ChIJc_iInSh-j4ARUkdU9Rr5lFI,DNA Lounge,Soma,700,San Francisco,CA,US,37.7710042,-122.4127227,375 Eleventh Street,94103,http://www.dnalounge.com/,inhouse,https://www.dnalounge.com/tickets/,
11491,ChIJB4gZTbiAhYAR3rdrtW61BYs,Boom Boom Room,Fillmore District,150,San Francisco,CA,US,37.7836591,-122.4326666,1601 Fillmore Street,94115,http://www.boomboomblues.com/,inticketing,http://www.inticketing.com/events/venueinfo/united-states/california/san-francisco/boom-boom-room/,
14791,ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,Hayes Valley,400,San Francisco,CA,US,37.7759644,-122.4204165,155 Fell Street,94102,http://www.rickshawstop.com/,ticketfly,http://www.ticketfly.com/venue/255-rickshaw-stop/,
31067,ChIJMyk1DEN-j4ARzwVUTMhc4jA,The Knockout,Bernal Heights,100,San Francisco,CA,US,37.745236,-122.4200992,3223 Mission Street,94110,http://www.theknockoutsf.com/,door,http://www.theknockoutsf.com/,
31103,ChIJ3fuhrD1-j4ARtpRY7DKfy6M,Amnesia,The Mission,80,San Francisco,CA,US,37.7593212,-122.4213616,853 Valencia St.,94110,http://www.amnesiathebar.com/,door,http://amnesiathebar.com/newp/calendar/,
31117,ChIJQxZzkUN-j4ARMz_GqIvQJyI,El Rio,Bernal Heights,100,San Francisco,CA,US,37.746817,-122.419467,3158 Mission St,94110,http://www.elriosf.com/,door,http://www.elriosf.com/calendar/,
31153,ChIJUeNQR5SAhYARlcjUx0zWaA0,Hemlock Tavern,Nob Hill,80,San Francisco,CA,US,37.7873492,-122.4199937,1131 Polk St,94109,http://www.hemlocktavern.com/,door,http://www.hemlocktavern.com/calendar/,
31417,ChIJx-3XhlGHhYARIbEXlqwgBm8,Milk Bar,Upper Haight,150,San Francisco,CA,US,37.7693806,-122.4525669,1840 Haight St,94117,http://www.milksf.com/,eventbrite,http://www.milksf.com/,
523156,ChIJD5cWIa6Aj4ARfAg-A1918nU,The New Parish,Oakland,450,Oakland,CA,US,37.8079502,-122.2728094,579 18th Street,94612,http://www.thenewparish.com/,ticketfly,http://www.ticketfly.com/venue/229-the-new-parish/,
953251,ChIJoRvsEbKAj4ARvoIv-SRbyAc,Fox Theater,Oakland,2800,Oakland,CA,US,37.8078474,-122.2699981,1807 Telegraph Ave,94612,http://www.thefoxoakland.com/,ticketmaster,http://www.thefoxoakland.com/calendar.php,
1108926,ChIJa4c8OyF-j4AR4kopWZOJZPM,Public Works,The Mission,700,San Francisco,CA,US,37.7690379,-122.4194072,161 Erie Street,94103,http://www.publicsf.com/,ticketfly,http://www.ticketfly.com/venue/907-public-works/,
1296241,ChIJXWLi4yB-j4ARe3LbSLbaDBo,Brick & Mortar Music Hall,The Mission,250,San Francisco,CA,US,37.7696946,-122.4201614,1710 Mission Street,94103,http://www.brickandmortarmusic.com/,ticketfly,http://www.ticketfly.com/venue/1677-brick-mortar-music-hall/,
1595753,ChIJ328vE4SAhYARpJpsQ3UcwHQ,Monarch,Soma,250,San Francisco,CA,US,37.7809924,-122.4085148,101 6th St,94103,http://www.monarchsf.com/,ticketfly,http://www.ticketfly.com/venue/3383-monarch/,
1970194,ChIJEwZPHciAj4ARrH2Av7e6g2s,The Night Light,Oakland,100,Oakland,CA,US,37.7971165,-122.2757614,311 Broadway,94607,http://www.thenightlightoakland.com/,door,http://www.thenightlightoakland.com/,
2020904,ChIJS53IPGGAhYARbUmMvoOAZ88,SFJAZZ Center,Hayes Valley,500,San Francisco,CA,US,37.7761665,-122.4211855,201 Franklin St.,94102,http://www.sfjazz.org/,inhouse,http://www.sfjazz.org/events-calendar,
2029634,ChIJzdMHHj1-j4ARCU4ZzZw5lBg,The Chapel,The Mission,350,San Francisco,CA,US,37.760565,-122.421188,777 Valencia Street,94110,http://www.thechapelsf.com/,ticketfly,http://www.ticketfly.com/venue/5519-the-chapel/,
2091824,ChIJs3wUCjyHhYARQlTmEw2aFic,Neck of the Woods,Inner Richmond,500,San Francisco,CA,US,37.7831143,-122.4637331,406 Clement Street,94118,http://www.neckofthewoodssf.com/,ticketfly,http://www.ticketfly.com/venue/8679-neck-of-the-woods/,
2393199,ChIJ-45DMyZ-j4AR2Apt3H8M8W8,Audio,Soma,400,San Francisco,CA,US,37.771362,-122.413792,316 11th Street,94103,http://www.audiosf.com/,inhouse,http://audiosf.com/events/,
490111,ChIJTfBB0ruAhYAR7o6ha0pVtvo,Yoshi's,The Fillmore,400,San Francisco,CA,US,37.7819196,-122.4324077,1330 Fillmore St.,94115,http://www.yoshis.com/sanfrancisco/,ticketfly,http://www.ticketfly.com/venue/2649-yoshis-san-francisco/,